Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
1,52.8,63.4,58.6,2,1,82.66,82.66,64.34,58,74,68,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,55,74.67,59,2,1,50,50,60.43,51,69,80,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,74.4,52,58.74,1,1,92,92,63.62,62,87,73,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
0,67,48,65,0,1,55.6,55.6,65.63,66,78,62,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,55,69,65,0,1,55,55,62.93,50,75,66,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,84,60,79,1,1,88,88,72.78,73,83,77,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,72,78,66.63,0,0,0,0,52.91,50,61,59,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,53.8,46.3,66.1,0,1,30.71,30.71,56,53,55,55,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,59,75,65,0,1,35,35,62.51,59,76,56,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,62.6,50.6,52,0,1,34.53,34.53,58.63,62,57,56,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,77,65,70,0,1,87,87,71.04,70,73,84,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1,81.86,62,76,0,1,95.5,95.5,68.53,54,67,77,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,59.4,66.12,58.2,0,1,67,67,62.65,54,65,53,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,70.24,42.83,60.27,2,1,64,64,66.23,65,82,79,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,63.2,67.8,62.6,2,1,96,96,70.85,53,76,72,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,54.07,70.33,59,1,1,48.38,48.38,55.87,58,56,54,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,65,55,60,0,1,61.28,61.28,60.11,62,72,65,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,60,63,58,0,1,75,75,57.8,54,66,62,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,78,63,58,0,1,93,93,62.56,58,67,70,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,73,48,56,0,0,0,0,60.03,50,73,58,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,62,62,71,3,1,59,59,69.72,63,71,61,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,75,74,78,0,1,60,60,66.72,71,69,67,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,60,52.8,73.25,1,1,55,55,51.58,53,52,58,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,74,84,53,0,1,68,68,68.63,71,86,54,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,66.08,53,56,0,1,71,71,65.69,58,75,73,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,54,60,60,0,1,50,50,56.7,55,69,59,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,78,78,51,0,0,0,0,55.02,54,56,50,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
1,67,55,75.5,1,1,78,78,54.48,53,68,77,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,67,54,54,1,1,68.44,68.44,62.77,59,68,60,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,82.8,70.6,69.3,0,1,96.8,96.8,55.5,65,76,70,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,60,59.8,65.5,1,1,56,56,56.94,57,65,50,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,75,65,59,1,0,0,0,56.19,57,50,71,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,70,54,65,2,0,0,0,59.8,63,56,50,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,46,65,71,0,1,92.66,92.66,62.92,55,71,82,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,59,62,50,0,1,79,79,56.51,58,61,50,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,77,68,73,0,1,61,61,58.78,52,68,74,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,60,74,65,0,1,60,60,61.82,57,72,50,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,78.89,79.98,71.6,0,1,68,68,71.63,71,76,64,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,37.3,44.4,35,0,0,0,0,61.66,62,66,69,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,60.4,51.8,74.8,0,1,94.3,94.3,51.24,53,50,50,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,55,68,71,1,1,86,86,56.09,58,65,58,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,74.44,89,70,1,1,94,94,67.13,70,69,63,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,69,65,68,1,1,60,60,57.24,50,67,51,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,62,64.3,66,0,0,0,0,59.84,55,59,63,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
