Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science
1,-0.848455569,0.959239911,-0.461765294,2.178353538,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0.88913061,-1.010801047,-0.490158547,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0.226340006,-1.358404216,0.193463616,-0.739084236,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,-0.848455569,0.466512419,0.193463616,-0.739084236,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1.748967069,-0.31559471,1.722331074,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.674171495,1.248619549,0.37146747,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,-0.955935126,-1.506135563,0.313588916,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.490190377,0.987917172,0.193463616,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.167751705,-1.132462156,-1.226199023,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.122002984,0.118909251,0.739487708,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,1.557295192,-0.141793126,1.394716619,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.454363858,0.216238138,-0.549129149,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.516534811,-1.807681312,-0.323075175,2.178353538,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,-0.114011926,0.362231469,-0.068627948,2.178353538,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,-0.931752226,0.582090473,-0.461765294,0.719634651,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.04720741,-0.750098671,-0.352560476,-0.739084236,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,-0.400624079,-0.054892334,-0.570970113,-0.739084236,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,1.211569282,-0.054892334,-0.570970113,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0.763737793,-1.358404216,-0.78937975,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1,-0.221491484,-0.141793126,0.848692527,3.637072424,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0.942870389,0.90101638,1.613126255,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.400624079,-0.941280414,1.094403368,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0.853304091,1.770024302,-1.116994205,-0.739084236,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0.143939012,-0.923900255,-0.78937975,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,-0.938021866,-0.31559471,-0.352560476,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
